Tissue,Symbol,Mode,pvalcis,pvaltrans,pvalcombined,fdrcis,fdrtrans,fdrcombined,chr,pos,endpos,r2cis,r2trans,r2combined,z_cis,z_trans,z_combined,fs_cis,fs_trans,fs_combined,cis_features,trans_features,cis_weight,trans_weight,Description,Type,DirectORIndirect,Score,Average Disease Causing Likelihood
SKLM,SMTNL2,combined,0.0004162453133444055,NaN,0.00041624531164222264,0.003004345674377238,NaN,0.003004345674377238,17,4583999,4608319,0.0015298151064826707,1.2993410259441478e-22,0.0015298151065443136,3.529563809903505,NaN,3.5295638109855556,1,12,13,"[""rs67966027""]","[""rs2044278"", ""rs10484458"", ""rs6931833"", ""rs1105834"", ""rs9372364"", ""rs75332020"", ""rs9384868"", ""rs62421553"", ""rs7037849"", ""rs9387146"", ""rs12662111"", ""rs7741412""]",0.9999999998597418,0.0025146519373467026,Smoothelin Like 2,Protein,Indirect,2.11,20.7
SKLM,SERPINI1,trans,NaN,0.001332956714482904,0.001332956714482904,NaN,0.00819526195199777,0.00819526195199777,3,167735243,167825569,NaN,0.005605490393357134,0.005605490393357134,NaN,3.208788141689728,3.208788141689728,0,5,0,String[],"[""rs10911900"", ""rs9783017"", ""rs6037322"", ""rs12329478"", ""rs11584118""]",NaN,NaN,Serpin Family I Member 1,Protein,Indirect,2.16,28.5
SKLM,HLA-B,combined,4.877888678434554e-16,NaN,4.877889689281446e-16,2.2376460166182633e-14,NaN,2.2376460166182633e-14,6,31353872,31357188,0.0060304591988019655,6.028764495589661e-18,0.006030459171418511,8.114500041529988,NaN,8.114500016363104,16,27,43,"[""rs2596540"", ""rs9264077"", ""rs2523612"", ""rs9264082"", ""rs2243621"", ""rs2596548"", ""rs2394430"", ""rs2518030"", ""rs2517448"", ""rs2853967"", ""rs2523556"", ""rs2596471"", ""rs2523870"", ""rs3016015"", ""rs3099849"", ""rs2523676""]","[""rs2474628"", ""rs9591438"", ""rs76507724"", ""rs2360082"", ""rs11804336"", ""rs10732706"", ""rs2808593"", ""rs2739506"", ""rs9535824"", ""rs11654510"", ""rs2749707"", ""rs743120"", ""rs2749702"", ""rs717571"", ""rs2749703"", ""rs2572249"", ""rs11077842"", ""rs944168"", ""rs1836932"", ""rs2771316"", ""rs11148246"", ""rs662383"", ""rs9526951"", ""rs2286591"", ""rs79762285"", ""rs2808596"", ""rs2572248""]",0.8887722098904433,0.5000079207108991,"Major Histocompatibility Complex, Class I, B",Protein,Direct,7.49,0.2
SKLM,BRAF,trans,NaN,8.955638847675181e-29,8.955638847675181e-29,NaN,9.972142128847202e-27,9.972142128847202e-27,7,140719327,140924929,NaN,0.0016009894297955814,0.0016009894297955814,NaN,11.130078713932303,11.130078713932303,0,44,0,String[],"[""rs36005199"", ""rs2271029"", ""rs676387"", ""rs72626002"", ""rs10086975"", ""rs61852474"", ""rs11649877"", ""rs146392775"", ""rs647397"", ""rs7417422"", ""rs9911327"", ""rs8025228"", ""rs4796662"", ""rs36023314"", ""rs4889954"", ""rs62075803"", ""rs900780"", ""rs34492630"", ""rs2242461"", ""rs2271028"", ""rs72628303"", ""rs1553468"", ""rs878291"", ""rs2044103"", ""rs7220372"", ""rs2289539"", ""rs11150847"", ""rs12940486"", ""rs3760386"", ""rs9889373"", ""rs4648983"", ""rs8069457"", ""rs56397354"", ""rs2089115"", ""rs12591585"", ""rs144967292"", ""rs7406488"", ""rs12945067"", ""rs62075806"", ""rs7211994"", ""rs34780571"", ""rs117512511"", ""rs2089116"", ""rs72826906""]",NaN,NaN,"B-Raf Proto-Oncogene, Serine/Threonine Kinase",Protein,Direct,20.67,79.6
SKLM,NDUFAF5,combined,7.575250548794205e-5,NaN,7.575248886228331e-5,0.0006645815767655953,NaN,0.0006645815767655953,20,13785007,13821580,0.005748160128189972,3.4790572113432675e-17,0.005748160124519238,3.957455148399749,NaN,3.9574552008418125,20,7,27,"[""rs74465377"", ""rs55814427"", ""rs6042325"", ""rs2327797"", ""rs6074662"", ""rs34449907"", ""rs2423751"", ""rs62209493"", ""rs6110048"", ""rs7264494"", ""rs6105162"", ""rs2209994"", ""rs6042367"", ""rs6074643"", ""rs6079176"", ""rs4813145"", ""rs6079156"", ""rs2423750"", ""rs2423749"", ""rs2183187""]","[""rs4795037"", ""rs116440435"", ""rs234823"", ""rs7073295"", ""rs235534"", ""rs79244254"", ""rs58940370""]",0.9987728930804062,0.5000086796432537,NADH:Ubiquinone Oxidoreductase Complex Assembly Factor 5,Protein,Direct,3.37,59.1
SKLM,TSFM,combined,4.938076652995313e-8,NaN,4.9380766529952075e-8,8.509690824764939e-7,NaN,8.509690824764939e-7,12,57782761,57808071,0.0035251401879874003,4.933939302136364e-33,0.0035251401879874008,5.453525839664248,NaN,5.453525839664252,39,85,124,"[""rs1048691"", ""rs10877017"", ""rs703842"", ""rs11172335"", ""rs10431552"", ""rs2291617"", ""rs923829"", ""rs11172369"", ""rs1599932"", ""rs10783848"", ""rs12821690"", ""rs11172350"", ""rs2307097"", ""rs10747783"", ""rs10877015"", ""rs4631925"", ""rs3825079"", ""rs9652011"", ""rs12582311"", ""rs11172349"", ""rs2269720"", ""rs11172337"", ""rs10877013"", ""rs10877020"", ""rs10783847"", ""rs10877019"", ""rs12426201"", ""rs10877012"", ""rs10877016"", ""rs10783827"", ""rs2014886"", ""rs10783828"", ""rs1021469"", ""rs10877014"", ""rs10877018"", ""rs8181644"", ""rs11172333"", ""rs4646536"", ""rs492749""]","[""rs112767546"", ""rs5771242"", ""rs55887122"", ""rs4872083"", ""rs12726055"", ""rs7105387"", ""rs141556093"", ""rs6010216"", ""rs55946730"", ""rs71639206"", ""rs56291815"", ""rs62495261"", ""rs7736523"", ""rs10752916"", ""rs10783844"", ""rs7009693"", ""rs885976"", ""rs145548044"", ""rs10076725"", ""rs75353960"", ""rs4872096"", ""rs6010213"", ""rs56177331"", ""rs1564305"", ""rs76129401"", ""rs72854902"", ""rs61649210"", ""rs7976852"", ""rs59565964"", ""rs7545284"", ""rs11172306"", ""rs2054713"", ""rs12770060"", ""rs6424909"", ""rs7934928"", ""rs4872513"", ""rs73219561"", ""rs150293245"", ""rs35548004"", ""rs1780354"", ""rs34802507"", ""rs733544"", ""rs900778"", ""rs12783413"", ""rs1809499"", ""rs4748388"", ""rs76170514"", ""rs5746733"", ""rs36049659"", ""rs67269695"", ""rs61810824"", ""rs76456162"", ""rs61810851"", ""rs11784816"", ""rs12758337"", ""rs3758156"", ""rs78160156"", ""rs7843147"", ""rs4872204"", ""rs2154258"", ""rs72738979"", ""rs77324643"", ""rs12763262"", ""rs1073848"", ""rs723238"", ""rs4871839"", ""rs7514445"", ""rs17579600"", ""rs5771258"", ""rs5771281"", ""rs4357289"", ""rs11121048"", ""rs7525146"", ""rs73424449"", ""rs67532425"", ""rs28576779"", ""rs1040395"", ""rs62494157"", ""rs2607296"", ""rs12731471"", ""rs6660352"", ""rs6424908"", ""rs13276082"", ""rs4087609"", ""rs141398541""]",0.9999999999999988,1.5355423732179361e-9,"Ts Translation Elongation Factor, Mitochondrial",Protein,Direct,4.77,35.9
SKLM,PSMB9,combined,8.549253303243151e-5,NaN,8.549403579366854e-5,0.0007400772746311719,NaN,0.0007400772746311719,6,32844136,32859851,0.0013690462607423137,1.1060766419653438e-15,0.0013690462200834062,-3.92845728136211,NaN,-3.9284530533991164,45,30,75,"[""rs9276827"", ""rs6931062"", ""rs9276849"", ""rs9276856"", ""rs6930981"", ""rs1580345"", ""rs6905477"", ""rs9276842"", ""rs9276915"", ""rs9276863"", ""rs9276857"", ""rs6912492"", ""rs9276818"", ""rs17587"", ""rs9276851"", ""rs9276834"", ""rs9276850"", ""rs2071538"", ""rs3752430"", ""rs1133896"", ""rs7747111"", ""rs154978"", ""rs6928398"", ""rs7765121"", ""rs7453903"", ""rs1383269"", ""rs9276844"", ""rs7749454"", ""rs9276909"", ""rs9276817"", ""rs3763348"", ""rs9276830"", ""rs1871667"", ""rs1351383"", ""rs7765145"", ""rs1383267"", ""rs7767680"", ""rs2071480"", ""rs6929078"", ""rs9276825"", ""rs7765772"", ""rs6923186"", ""rs9276843"", ""rs9276864"", ""rs2071534""]","[""rs12449967"", ""rs8179955"", ""rs6764671"", ""rs12939401"", ""rs6802249"", ""rs1105834"", ""rs12451673"", ""rs11712093"", ""rs148481647"", ""rs2669859"", ""rs4301905"", ""rs12936295"", ""rs56070977"", ""rs11721137"", ""rs11869834"", ""rs13097525"", ""rs13318623"", ""rs4491841"", ""rs218495"", ""rs10934616"", ""rs218493"", ""rs61603750"", ""rs73060206"", ""rs1135431"", ""rs34786073"", ""rs4682613"", ""rs1036110"", ""rs2685174"", ""rs7985262"", ""rs16833581""]",0.7317577997614508,0.9999999998719059,Proteasome 20S Subunit Beta 9,Protein,Direct,3.83,20.6
SKLM,RAC1,combined,4.425960198558491e-11,NaN,2.2209927140502657e-10,1.1938180013834373e-9,NaN,5.4594515242729925e-9,7,6374527,6403967,0.008864199447582079,5.943984541348517e-5,0.008925426632344774,6.589068012067023,NaN,6.345225921775277,27,20,47,"[""rs6959558"", ""rs58885063"", ""rs12702510"", ""rs11766121"", ""rs11514804"", ""rs7807755"", ""rs7790101"", ""rs13239407"", ""rs13229636"", ""rs836503"", ""rs10256583"", ""rs10239851"", ""rs13238780"", ""rs11975679"", ""rs6463552"", ""rs10264479"", ""rs6463561"", ""rs6463563"", ""rs35530051"", ""rs6942723"", ""rs13240397"", ""rs13240753"", ""rs56303722"", ""rs10951982"", ""rs702483"", ""rs4720675"", ""rs62454714""]","[""rs17577299"", ""rs1211709"", ""rs1208709"", ""rs4934902"", ""rs1322315"", ""rs1742232"", ""rs79560777"", ""rs11505569"", ""rs1779064"", ""rs77279852"", ""rs1779050"", ""rs4934913"", ""rs1779051"", ""rs733544"", ""rs17577243"", ""rs1620874"", ""rs1779065"", ""rs733543"", ""rs117994910"", ""rs140395807""]",0.9999999989454823,0.06487961857483371,Rac Family Small GTPase 1,Protein,Direct,2.06,78.2
SKLM,CSK,cis,0.00038913650348631617,NaN,0.00038913650348631617,0.0028449328661165696,NaN,0.0028449328661165696,15,74782080,74803197,0.0045987499928366185,NaN,0.0045987499928366185,-3.547343746496677,NaN,-3.547343746496677,3,0,0,"[""rs1378942"", ""rs35107470"", ""rs12441505""]",String[],NaN,NaN,C-Terminal Src Kinase,Protein,Direct,2.29,69.8
SKLM,PPP1CA,cis,0.00011687583646991807,NaN,0.00011687583646991807,0.0009849019388939798,NaN,0.0009849019388939798,11,67398181,67421183,0.00741602253648648,NaN,0.00741602253648648,-3.8525882423980016,NaN,-3.8525882423980016,1,0,0,"[""rs10896149""]",String[],NaN,NaN,Protein Phosphatase 1 Catalytic Subunit Alpha,Protein,Indirect,2.04,91.4
