Tissue,Symbol,Mode,pvalcis,pvaltrans,pvalcombined,fdrcis,fdrtrans,fdrcombined,chr,pos,endpos,r2cis,r2trans,r2combined,z_cis,z_trans,z_combined,fs_cis,fs_trans,fs_combined,cis_features,trans_features,cis_weight,trans_weight,Description,Type,DirectORIndirect,Score,Average Disease Causing Likelihood
SKLM,SERPINI1,trans,NaN,0.001332956714482904,0.001332956714482904,NaN,0.00819526195199777,0.00819526195199777,3,167735243,167825569,NaN,0.005605490393357134,0.005605490393357134,NaN,3.208788141689728,3.208788141689728,0,5,0,String[],"[""rs10911900"", ""rs9783017"", ""rs6037322"", ""rs12329478"", ""rs11584118""]",NaN,NaN,Serpin Family I Member 1,Protein,Indirect,2.16,28.5
SKLM,BRAF,trans,NaN,8.955638847675181e-29,8.955638847675181e-29,NaN,9.972142128847202e-27,9.972142128847202e-27,7,140719327,140924929,NaN,0.0016009894297955814,0.0016009894297955814,NaN,11.130078713932303,11.130078713932303,0,44,0,String[],"[""rs36005199"", ""rs2271029"", ""rs676387"", ""rs72626002"", ""rs10086975"", ""rs61852474"", ""rs11649877"", ""rs146392775"", ""rs647397"", ""rs7417422"", ""rs9911327"", ""rs8025228"", ""rs4796662"", ""rs36023314"", ""rs4889954"", ""rs62075803"", ""rs900780"", ""rs34492630"", ""rs2242461"", ""rs2271028"", ""rs72628303"", ""rs1553468"", ""rs878291"", ""rs2044103"", ""rs7220372"", ""rs2289539"", ""rs11150847"", ""rs12940486"", ""rs3760386"", ""rs9889373"", ""rs4648983"", ""rs8069457"", ""rs56397354"", ""rs2089115"", ""rs12591585"", ""rs144967292"", ""rs7406488"", ""rs12945067"", ""rs62075806"", ""rs7211994"", ""rs34780571"", ""rs117512511"", ""rs2089116"", ""rs72826906""]",NaN,NaN,"B-Raf Proto-Oncogene, Serine/Threonine Kinase",Protein,Direct,20.67,79.6
SKLM,PPARGC1A,trans,NaN,1.1013386625902683e-10,1.1013386625902683e-10,NaN,2.8133804110247093e-9,2.8133804110247093e-9,4,23755041,23904089,NaN,0.0010198832146303468,0.0010198832146303468,NaN,-6.45234312547813,-6.45234312547813,0,9,0,String[],"[""rs3131059"", ""rs28362351"", ""rs28742573"", ""rs9266002"", ""rs113997854"", ""rs9501072"", ""rs2839108"", ""rs9468885"", ""rs28362334""]",NaN,NaN,PPARG Coactivator 1 Alpha,Protein,Direct,10.6,48.4
SKLM,NDUFS7,trans,NaN,5.348525410386776e-5,5.348525410386776e-5,NaN,0.00048490319447821095,0.00048490319447821095,19,1383527,1395589,NaN,0.0018944398360446022,0.0018944398360446022,NaN,4.039850627584074,4.039850627584074,0,20,0,String[],"[""rs72922272"", ""rs1390956"", ""rs9388573"", ""rs7777266"", ""rs11208552"", ""rs1973420"", ""rs8045320"", ""rs4802116"", ""rs4783633"", ""rs7756802"", ""rs6919803"", ""rs317713"", ""rs7249159"", ""rs1303940"", ""rs1303941"", ""rs2241711"", ""rs10889503"", ""rs9401956"", ""rs1834101"", ""rs9401957""]",NaN,NaN,NADH:Ubiquinone Oxidoreductase Core Subunit S7,Protein,Direct,3.37,25.8
SKLM,B2M,trans,NaN,1.7627547191987884e-9,1.7627547191987884e-9,NaN,3.7586200461083166e-8,3.7586200461083166e-8,15,44711487,44718851,NaN,0.004487353919795415,0.004487353919795415,NaN,-6.018284235574851,-6.018284235574851,0,27,0,String[],"[""rs12092383"", ""rs56261565"", ""rs13076790"", ""rs34863113"", ""rs971362"", ""rs11775467"", ""rs4678218"", ""rs2241717"", ""rs2407697"", ""rs7992396"", ""rs12462166"", ""rs11707405"", ""rs3745290"", ""rs57772271"", ""rs11544484"", ""rs10753083"", ""rs2241715"", ""rs7337571"", ""rs11720401"", ""rs3829019"", ""rs12680498"", ""rs6700517"", ""rs34617726"", ""rs71330976"", ""rs13095775"", ""rs62523445"", ""rs7992294""]",NaN,NaN,Beta-2-Microglobulin,Protein,Direct,4.36,
SKLM,CALM2,trans,NaN,5.20204928744918e-17,5.20204928744918e-17,NaN,2.6682007132633035e-15,2.6682007132633035e-15,2,47160083,47176921,NaN,0.002052290615853634,0.002052290615853634,NaN,-8.382034699227674,-8.382034699227674,0,6,0,String[],"[""rs35341163"", ""rs318095"", ""rs72675462"", ""rs6696692"", ""rs832410"", ""rs769236""]",NaN,NaN,Calmodulin 2,Protein,Direct,19.02,69.7
SKLM,MSRB2,trans,NaN,0.0010365939911489818,0.0010365939911489818,NaN,0.006619973782690655,0.006619973782690655,10,23095579,23122013,NaN,0.0010125431457259505,0.0010125431457259505,NaN,-3.2804016489947947,-3.2804016489947947,0,10,0,String[],"[""rs6748462"", ""rs9566064"", ""rs7585500"", ""rs12767261"", ""rs7565943"", ""rs6585454"", ""rs2723064"", ""rs9575871"", ""rs11843434"", ""rs62335076""]",NaN,NaN,Methionine Sulfoxide Reductase B2,Protein,Indirect,2.18,25.1
SKLM,PTK2,trans,NaN,2.021508967245491e-8,2.021508967245491e-8,NaN,3.6476757375726115e-7,3.6476757375726115e-7,8,140657900,141002216,NaN,0.002427651591730133,0.002427651591730133,NaN,-5.610150362655372,-5.610150362655372,0,19,0,String[],"[""rs9933184"", ""rs9923732"", ""rs77145371"", ""rs4889227"", ""rs11658765"", ""rs11668924"", ""rs665901"", ""rs113597747"", ""rs11866803"", ""rs10853751"", ""rs7218028"", ""rs35096487"", ""rs79967548"", ""rs4889230"", ""rs35080061"", ""rs11670757"", ""rs16954572"", ""rs2911158"", ""rs62073635""]",NaN,NaN,Protein Tyrosine Kinase 2,Protein,Indirect,2.39,83.0
SKLM,LGALS3BP,trans,NaN,3.1920200671750723e-9,3.1920200671750723e-9,NaN,6.538622238232208e-8,6.538622238232208e-8,17,78971238,78979947,NaN,0.0013062594792436165,0.0013062594792436165,NaN,5.921405346895896,5.921405346895896,0,21,0,String[],"[""rs2980438"", ""rs7839053"", ""rs6564256"", ""rs7350091"", ""rs10098597"", ""rs1074961"", ""rs3808515"", ""rs7819746"", ""rs13266916"", ""rs2059257"", ""rs2980498"", ""rs10091637"", ""rs8051611"", ""rs2409764"", ""rs1435279"", ""rs10110557"", ""rs4841515"", ""rs3808513"", ""rs13275905"", ""rs11250135"", ""rs11250131""]",NaN,NaN,Galectin 3 Binding Protein,Protein,Direct,2.39,42.9
SKLM,NFATC2,trans,NaN,1.456681744211392e-5,1.456681744211392e-5,NaN,0.0001523085855825523,0.0001523085855825523,20,51386957,51562831,NaN,0.012703091490763294,0.012703091490763294,NaN,-4.335138807362664,-4.335138807362664,0,16,0,String[],"[""rs36192908"", ""rs12540937"", ""rs36160646"", ""rs7788566"", ""rs7384280"", ""rs8008785"", ""rs36180308"", ""rs145519022"", ""rs10249357"", ""rs12588981"", ""rs10261964"", ""rs36175194"", ""rs7458899"", ""rs175036"", ""rs36154721"", ""rs2287400""]",NaN,NaN,Nuclear Factor Of Activated T Cells 2,Protein,Direct,3.39,66.1
