Tissue,Mode,Nsig,gene,pval,fdr,chr,_start,_end
AOR,combined,1,ATXN1L,3.3855998660701043e-13,9.749673464811894e-12,16,71808439,71885268
AOR,trans,1,ESM1,4.809967729432556e-6,5.1476514082411805e-5,5,54977867,55022671
AOR,combined,1,COLEC11,3.209890085945978e-5,0.0002925522641299517,2,3594832,3644644
AOR,trans,1,COX19,0.00022003968500525393,0.0016262690369523798,7,898778,975549
AOR,cis,1,HLA-B,1.741862541366225e-6,2.070267357092101e-5,6,31353872,31357188
AOR,trans,1,GAB1,0.0020091690153220465,0.011189349270473523,4,143336762,143474568
AOR,combined,1,TPP2,2.1245656906701744e-10,4.468924580130592e-9,13,102596986,102679958
AOR,combined,1,TLCD5,8.089888113902247e-20,3.742597289149903e-18,11,120325296,120333686
AOR,cis,1,RARRES1,9.20935612772642e-6,9.310620832035446e-5,3,158696892,158732489
AOR,combined,1,SEMA5A,4.543557390915201e-18,1.871051361096915e-16,5,9035033,9546075
AOR,cis,1,SLC44A1,2.013649475248701e-5,0.00019102882335276288,9,105244622,105439171
AOR,trans,1,LTN1,0.000686649285323525,0.004427933790094668,21,28928144,28992956
AOR,cis,1,FCGR3A,0.0012806891584872155,0.007543269463305642,1,161541759,161550737
AOR,combined,1,USP15,0.0021328497561934074,0.011766087013506196,12,62260338,62417431
AOR,cis,1,NDUFAF5,9.834839764499467e-7,1.210231671020351e-5,20,13785007,13821580
AOR,trans,1,JARID2,0.0008480190763171029,0.005309289454680825,6,15246069,15522042
AOR,combined,1,SLC29A1,1.797061491657659e-6,2.1272260754759797e-5,6,44219553,44234142
AOR,cis,1,APOBEC3D,2.3502488678155765e-5,0.0002202454371704866,22,39021113,39033277
AOR,combined,1,ADAL,0.0020405326430370297,0.011342413615367775,15,43330672,43354569
AOR,trans,1,ARL4C,0.0010282837165450109,0.006273989838135023,2,234493041,234497081
AOR,combined,1,ENSG00000261428,0.001186691699336322,0.007072257545968197,,,
AOR,cis,1,TMEM68,0.0026035267165135005,0.014003295463101863,8,55696424,55773407
AOR,trans,1,TOX4,2.1099136777422995e-5,0.00019977220242820386,14,21476597,21499175
AOR,combined,1,IGFBP3,1.0588848463574646e-8,1.7630794497607945e-7,7,45912245,45921874
AOR,combined,1,DHX36,1.118876907566787e-56,1.5727751453575824e-54,3,154272546,154324487
AOR,cis,1,LRRC4B,6.740900854081939e-6,7.0743165531819e-5,19,50516892,50568435
AOR,cis,1,XRRA1,1.038418873678672e-6,1.2682243537434007e-5,11,74807739,74949200
AOR,cis,1,RNASET2,0.002210627369661507,0.012112879129340918,6,166922113,166957191
AOR,cis,1,CAV2,3.758749461897021e-12,9.936482492133919e-11,7,116287380,116508541
AOR,trans,1,SRPK1,0.0017198371926459889,0.009714953600962794,6,35832966,35921342
AOR,combined,1,NUP107,0.001409847233486031,0.008178792343782654,12,68686951,68745809
AOR,combined,1,HTR2A,0.000944328310810279,0.005849633724045482,13,46831546,46897076
AOR,combined,1,AMOTL2,1.1684097889615566e-5,0.00011596050754039131,3,134355347,134375479
AOR,combined,1,DCAF13,3.5169480940181837e-7,4.691082498763853e-6,8,103414714,103443453
AOR,combined,1,CSK,1.4894713864097706e-11,3.54635893039008e-10,15,74782080,74803197
AOR,combined,1,PDIA6,1.0742399421340848e-9,2.0745487850136914e-8,2,10783391,10837977
AOR,trans,1,RP11-466A19,0.0003837762774489805,0.002661492125249832,,,
AOR,combined,1,SPATS2,0.0005474188285035091,0.003637598115405818,12,49366584,49527425
AOR,combined,1,ERBB4,1.312025339485165e-6,1.5864766228877492e-5,2,211375717,212538841
AOR,cis,1,USP45,1.3967745116156414e-6,1.6792308047129164e-5,6,99432325,99521728
AOR,combined,1,KCNA2,0.0008130150005789501,0.005114228181352699,1,110519837,110631474
AOR,combined,1,RARRES2,7.725597006723005e-6,8.061423768964218e-5,7,150338317,150341662
AOR,combined,1,CNTN1,8.8063386247087e-9,1.476374591222687e-7,12,40692439,41072415
AOR,combined,1,EHBP1,0.0004009503945402643,0.002772702846633928,2,62673851,63046487
AOR,combined,1,C7,0.00022760323187766878,0.0016728669056682319,5,40909497,40984643
AOR,cis,1,KIAA1191,0.0010092407125887116,0.006183608540374842,5,176346062,176361807
AOR,combined,1,DBN1,4.5869706471511306e-7,5.992540965167437e-6,5,177456608,177474401
AOR,combined,1,SLAIN2,0.00020581965023806743,0.0015312355057176107,4,48341529,48426201
AOR,trans,1,NBAT1,0.0018434347697776198,0.010349144738624819,6,22133205,22147193
AOR,cis,1,PLXDC2,1.5048762014869334e-7,2.1296984694615177e-6,10,19816239,20289856
AOR,cis,1,TANGO2,1.0879888429285538e-35,8.597464267444609e-34,22,20017014,20067164
AOR,combined,1,RRAD,2.1695808128782756e-6,2.5192296984485712e-5,16,66921679,66925536
AOR,combined,1,TTC39B,0.0002976859967484635,0.0021197620976452936,9,15163622,15307360
AOR,cis,1,HDGFL3,2.3132539565852952e-14,7.241426036685317e-13,15,83112738,83207823
AOR,trans,1,CARD10,3.264845046698525e-39,2.84099819867177e-37,22,37490362,37519542
AOR,combined,1,TRPM3,0.0017491576888351526,0.009869243835384246,9,70529060,71446904
AOR,combined,1,ARL14EP,1.4672657154484102e-8,2.385979699014495e-7,11,30323104,30338223
AOR,trans,1,ODF2,0.0008953800395706833,0.005583184228845469,9,128455186,128501292
AOR,combined,1,AC005682,0.0018148120141008581,0.010200206395286598,,,
AOR,cis,1,UBE2F,0.0014570727925022262,0.008416020210821827,2,237966827,238042782
AOR,cis,1,LINC00957,4.098932744851287e-15,1.35878226297009e-13,7,44039171,44042306
AOR,trans,1,RAP1BL,2.626760375827104e-7,3.5589073154973522e-6,5,76173629,76174183
AOR,combined,1,GGCX,2.3948683297359854e-143,1.5913900051095622e-140,2,85544720,85561547
AOR,cis,1,ACTR3C,3.090022543481338e-15,1.0384606796127283e-13,7,150243916,150323725
AOR,combined,1,B4GALNT1,4.201035327863682e-11,9.59608366531862e-10,12,57623409,57633239
AOR,combined,1,KNSTRN,0.0006514324274026115,0.004223189534315338,15,40382721,40394246
AOR,trans,1,TAOK1,0.001714067392549715,0.009697349540125497,17,29390363,29551903
AOR,combined,1,TMED4,0.00015113924294676482,0.0011628970361003458,7,44577894,44582287
AOR,cis,1,MINDY2,2.6657692662255006e-5,0.00024633932302750057,15,58771192,58861900
AOR,combined,1,TMEM116,1.4840038290858162e-96,3.7404572545477764e-94,12,111931282,112013185
AOR,trans,1,PSMD7,0.001251475772588855,0.0073828422742392525,16,74296814,74306288
AOR,cis,1,AC079922,0.00025135660171569967,0.0018272412533474954,,,
AOR,cis,1,ZNF714,1.4148929013604789e-15,4.8215196561745556e-14,19,21082159,21125270
AOR,combined,1,ARSB,2.5032018695104587e-25,1.4407207925343857e-23,5,78777209,78986087
AOR,combined,1,MPDZ,0.00041068179747136404,0.0028205028920810014,9,13105706,13279692
AOR,cis,1,CDC123,2.6204945866470168e-5,0.00024323181182344598,10,12195965,12250589
AOR,combined,1,DENND4A,2.00613282532754e-5,0.00019056314001711404,15,65658046,65792293
AOR,cis,1,ALDH1A1,5.1542495849093085e-6,5.487980676022519e-5,9,72900671,73080442
AOR,combined,1,PILRB,3.1914539437387464e-23,1.6722538528960443e-21,7,100352176,100367733
AOR,cis,1,RP11-483P21,6.885180670378045e-9,1.1827785689806891e-7,,,
AOR,combined,1,MRPL42,0.0023920724323138924,0.012961356448128477,12,93467514,93516214
AOR,trans,1,RPL3,0.0003466834753979634,0.002433195764653656,22,39312882,39320389
AOR,cis,1,NXPE3,0.002213427394714726,0.012119136735331304,3,101779202,101828231
AOR,cis,1,SNX9,0.0007357496002685081,0.004701015474792535,6,157700387,157945077
AOR,combined,1,ICA1L,0.0,0.0,2,202773150,202871766
AOR,trans,1,RAB3GAP1,3.6521136439039754e-6,4.017325008294373e-5,2,135052292,135176394
